id,parent,focus,signal,slack,drag,confidence,score,lane,kind,invariant,mutation
m001,g001,file span,119,31,32,88,500,ship,baseline,monotonic-signal,raise-signal
m002,g002,terminal width,77,48,42,63,321,ship,edge,drag-penalty,drop-slack
m003,g003,argument risk,64,41,13,74,355,ship,recovery,confidence-floor,raise-drag
m004,g004,report density,105,69,32,52,424,ship,negative,lane-boundary,lower-confidence
m005,g005,file span,94,16,4,22,334,ship,baseline,monotonic-signal,raise-signal
m006,g006,terminal width,78,51,13,91,441,ship,edge,drag-penalty,drop-slack
m007,g007,argument risk,34,52,47,87,234,ship,recovery,confidence-floor,raise-drag
m008,g008,report density,104,50,13,33,402,ship,negative,lane-boundary,lower-confidence
m009,g009,file span,107,16,43,30,311,ship,baseline,monotonic-signal,raise-signal
m010,g010,terminal width,55,61,38,70,290,ship,edge,drag-penalty,drop-slack
m011,g011,argument risk,81,32,23,94,417,ship,recovery,confidence-floor,raise-drag
m012,g012,report density,53,15,28,12,142,watch,negative,lane-boundary,lower-confidence
m013,g013,file span,96,44,36,81,422,ship,baseline,monotonic-signal,raise-signal
m014,g014,terminal width,107,50,41,27,343,ship,edge,drag-penalty,drop-slack
m015,g015,argument risk,33,37,31,91,256,ship,recovery,confidence-floor,raise-drag
m016,g016,report density,87,62,17,28,345,ship,negative,lane-boundary,lower-confidence
m017,g017,file span,39,42,15,21,171,watch,baseline,monotonic-signal,raise-signal
m018,g018,terminal width,49,59,36,101,336,ship,edge,drag-penalty,drop-slack
m019,g019,argument risk,106,51,13,60,463,ship,recovery,confidence-floor,raise-drag
m020,g020,report density,94,9,14,74,411,ship,negative,lane-boundary,lower-confidence
m021,g021,file span,56,26,40,62,238,ship,baseline,monotonic-signal,raise-signal
m022,g022,terminal width,71,26,13,73,359,ship,edge,drag-penalty,drop-slack
m023,g023,argument risk,43,10,50,64,167,watch,recovery,confidence-floor,raise-drag
m024,g024,report density,32,34,17,8,112,hold,negative,lane-boundary,lower-confidence
m025,g025,file span,39,40,27,90,283,ship,baseline,monotonic-signal,raise-signal
m026,g026,terminal width,77,8,33,86,345,ship,edge,drag-penalty,drop-slack
m027,g027,argument risk,104,46,24,45,400,ship,recovery,confidence-floor,raise-drag
m028,g028,report density,77,27,31,16,228,ship,negative,lane-boundary,lower-confidence
m029,g029,file span,76,55,40,69,341,ship,baseline,monotonic-signal,raise-signal
m030,g030,terminal width,109,25,25,93,488,ship,edge,drag-penalty,drop-slack
m031,g031,argument risk,46,64,47,24,156,watch,recovery,confidence-floor,raise-drag
m032,g032,report density,63,46,28,67,313,ship,negative,lane-boundary,lower-confidence
m033,g033,file span,39,74,23,26,197,watch,baseline,monotonic-signal,raise-signal
m034,g034,terminal width,105,10,43,90,419,ship,edge,drag-penalty,drop-slack
m035,g035,argument risk,58,67,20,40,281,ship,recovery,confidence-floor,raise-drag
m036,g036,report density,38,57,21,7,143,watch,negative,lane-boundary,lower-confidence
m037,g037,file span,40,55,26,100,323,ship,baseline,monotonic-signal,raise-signal
m038,g038,terminal width,75,10,9,59,335,ship,edge,drag-penalty,drop-slack
m039,g039,argument risk,57,77,51,86,318,ship,recovery,confidence-floor,raise-drag
m040,g040,report density,51,37,42,48,202,watch,negative,lane-boundary,lower-confidence
m041,g041,file span,105,20,21,72,437,ship,baseline,monotonic-signal,raise-signal
m042,g042,terminal width,34,38,33,63,200,watch,edge,drag-penalty,drop-slack
m043,g043,argument risk,94,66,48,20,292,ship,recovery,confidence-floor,raise-drag
m044,g044,report density,40,42,25,76,264,ship,negative,lane-boundary,lower-confidence
m045,g045,file span,69,67,40,85,364,ship,baseline,monotonic-signal,raise-signal
m046,g046,terminal width,74,36,28,44,290,ship,edge,drag-penalty,drop-slack
m047,g047,argument risk,40,75,51,28,149,watch,recovery,confidence-floor,raise-drag
m048,g048,report density,71,56,12,55,355,ship,negative,lane-boundary,lower-confidence
m049,g049,file span,99,14,18,92,459,ship,baseline,monotonic-signal,raise-signal
m050,g050,terminal width,59,20,44,23,155,watch,edge,drag-penalty,drop-slack
m051,g051,argument risk,47,42,23,79,295,ship,recovery,confidence-floor,raise-drag
m052,g052,report density,88,15,25,12,253,ship,negative,lane-boundary,lower-confidence
m053,g053,file span,121,39,10,89,560,ship,baseline,monotonic-signal,raise-signal
m054,g054,terminal width,84,34,25,39,314,ship,edge,drag-penalty,drop-slack
m055,g055,argument risk,73,24,20,105,413,ship,recovery,confidence-floor,raise-drag
m056,g056,report density,71,51,8,86,420,ship,negative,lane-boundary,lower-confidence
m057,g057,file span,39,32,28,58,209,ship,baseline,monotonic-signal,raise-signal
m058,g058,terminal width,57,49,40,85,310,ship,edge,drag-penalty,drop-slack
m059,g059,argument risk,30,41,13,60,225,ship,recovery,confidence-floor,raise-drag
m060,g060,report density,108,69,11,58,487,ship,negative,lane-boundary,lower-confidence
m061,g061,file span,71,51,36,62,316,ship,baseline,monotonic-signal,raise-signal
m062,g062,terminal width,87,0,29,105,413,ship,edge,drag-penalty,drop-slack
m063,g063,argument risk,104,26,34,88,446,ship,recovery,confidence-floor,raise-drag
m064,g064,report density,71,72,6,71,415,ship,negative,lane-boundary,lower-confidence
m065,g065,file span,67,62,18,43,313,ship,baseline,monotonic-signal,raise-signal
m066,g066,terminal width,99,49,26,27,348,ship,edge,drag-penalty,drop-slack
m067,g067,argument risk,79,26,17,67,363,ship,recovery,confidence-floor,raise-drag
m068,g068,report density,72,12,25,78,334,ship,negative,lane-boundary,lower-confidence
m069,g069,file span,125,42,13,22,435,ship,baseline,monotonic-signal,raise-signal
m070,g070,terminal width,98,14,29,78,406,ship,edge,drag-penalty,drop-slack
m071,g071,argument risk,92,54,46,24,286,ship,recovery,confidence-floor,raise-drag
m072,g072,report density,49,71,45,75,278,ship,negative,lane-boundary,lower-confidence
m073,g073,file span,84,47,29,38,317,ship,baseline,monotonic-signal,raise-signal
m074,g074,terminal width,47,61,43,104,324,ship,edge,drag-penalty,drop-slack
m075,g075,argument risk,81,52,17,98,457,ship,recovery,confidence-floor,raise-drag
m076,g076,report density,101,10,37,44,327,ship,negative,lane-boundary,lower-confidence
m077,g077,file span,124,61,10,84,581,ship,baseline,monotonic-signal,raise-signal
m078,g078,terminal width,81,8,40,59,289,ship,edge,drag-penalty,drop-slack
m079,g079,argument risk,112,36,42,70,428,ship,recovery,confidence-floor,raise-drag
m080,g080,report density,43,47,13,48,246,ship,negative,lane-boundary,lower-confidence
m081,g081,file span,109,20,25,104,505,ship,baseline,monotonic-signal,raise-signal
m082,g082,terminal width,88,33,33,87,405,ship,edge,drag-penalty,drop-slack
m083,g083,argument risk,41,50,45,83,249,ship,recovery,confidence-floor,raise-drag
